question,answer,category,subcategory,setName,questionNumber,difficulty,setYear
The presence of different Wolbachia infections may induce a rapid form of this process due to induction of cytoplasmic changes dubbed CI (C-I). Raising Drosophila pseudo·obscura in media of varying carbohydrates leads to this process within a short amount of generations. The BatesonDobzhansky-Muller model describes changes that cause this process whose early stages may see heterogametic offspring become (*) infertile per Haldanes rule. Reinforcement or the Wallace effect enhances this process by selecting against hybrids. This process can be characterized as allopatric parapatric or sympatric. Reproductive isolation is the end result of for 10 points what evolutionary process in which populations can no longer interbreed?,speciation [prompt on reproductive isolation before mention; prompt on evolution before evolutionary],Science,Biology,2022 PACE NSC,9,5,2022
High-mannose complex and hybrid oligosaccharides (OH-lee-go-SACK-uh-rides) are attached to a compound known by this letter in the ER and Golgi apparatus in a process believed to help monitor protein folding. A lipid-linked oligo·saccharide is transferred to proteins in a form of gly·co·syl·ation named for this letter which occurs at asparagine residues. Signal peptides are usually found on the protein terminal known by this letter which is typically the side of the protein formed (*) first during translation and is opposite the C-terminus. This letter denotes the element found with carbon in purine (PUREeen) and pyrimidine (peer-IH-mih-deen) rings. For 10 points name this letter representing the element that microbes in legume (LEG-yoom) root nodules fix into usable forms like ammonia.,N [accept N-linked glycosylation or N-terminus],Science,Biology,2022 PACE NSC,5,5,2022
Low values of Margots (mar-gohs) discriminant or Soters mu are proposed ways to define these objects. Alan Stern noted that there is no geophysical concept of these objects while serving as lead investigator on a mission studying one. Michael Brown maintains a list with hundreds of potential examples of these objects and helped discover nine of the ten with broader consensus. These objects began to be distinguished from their classical counterparts after (*) 2006 and include the largest unnamed object in the Solar System. These objects have failed to clear their neighborhood despite achieving hydrostatic equilibrium and include Eris. The IAU demoted Pluto to for 10 points what type of smaller object?,dwarf planets [accept planetoids or plutoids or ice dwarfs; prompt on asteroids or minor planets or trans-Neptunian objects or plutinos or cubewanos or twotinos or classical Kuiper belt objects or or inner Oort cloud objects; do not accept or prompt on planets or classical planets or small Solar system bodies or comets] (Alan Stern was lead investigator for the New Horizons mission.),Science,Other Science,2022 PACE NSC,16,5,2022
Volcano plots show how materials used in this non-statistical process are most effective at medium strength according to the Sabatier (sab-uh-tee-ay) principle. Acid strength is related to the ability to contribute to this process in Brønsteds (BRAHN-steds) relation named for this process. Benjamin List and David MacMillan were awarded a 2021 Nobel Prize for pioneering the use of chiral organic compounds for this process. The rate at which compounds can perform this process is quantified with the (*) turnover number. Quaternary ammonium salts help mitigate this process by migrating compounds between heterogeneous phases. A reactions activation energy is reduced through for 10 points what process which uses a namesake non-consumed substance to increase reaction rates?,catalysis [accept equivalents mentioning a reaction being catalyzed or word forms; accept asymmetric organocatalysis; accept Brønsted catalysis equation],Science,Chemistry,2022 PACE NSC,13,5,2022
A layer of nanophase iron originating from these events may resolve the S-type conundrum by producing a gradual reddening. The surface chemistry of rego·lith is shaped by embedding of protons and these events which agglutinate particles together into a glassy mass. Tectonically inactive objects can be dated using the distribution of these events which are the most energetic component of space (*) weathering. The smooth surface of the Mare (MAH-ray) Imbrium stems from volcanism triggered by these events which are used to separate the periods of lunar geology. The Caloris basin of Mercury was created by a large example of for 10 points what events that produce craters on the moon?,impact events [or (micro)meteorite impacts; or hypervelocity impacts; accept bombardments or collisions; accept answers indicating being struck by (micro)meteorites and prompt if no object is specified; prompt on space weathering before weathering],Science,Other Science,2022 PACE NSC,8,5,2022
A region which resembles these features is formed by rear flank downdrafts and may choke off the inflow to a mesocyclone. Baroclinic instability in the mid-latitudes produces these features west of cyclonic lows explaining why they typically approach from the poles. A sudden increase in pressure and worsening of weather accompanies the passage of these features. Rainbands accompany the lows that form ahead of these features which can form (*) squall lines in unstable conditions. As these features catch their slower counterparts a trough (troff) of lower density air is forced up in a process termed occlusion. For 10 points name these wedges of dense air characterized by a line of blue triangles on a weather map and by low temperatures.,cold fronts [accept pseudocold fronts; accept squall lines before mentioned; prompt on gust fronts],Science,Other Science,2022 PACE NSC,14,5,2022
Fi·lip·in is used to stain for this substance when diagnosing for Type C Niemann–Pick disease while its intestinal absorption can be lowered by inhibiting NPC1-like protein by ezeti·mibe. Receptors for EGF transferrin and for a transporter for this compound are the most understood examples of clathrinmediated endocytosis. This compounds side chain is hydroxylated at the C20 and C22 positions and cleaved to produce preg·ne·no·lone which can be acted on by 3-beta HSD and 17-alpha (*) hydroxylase. HMG-CoA reductase is the rate-controlling enzyme in the production of this compounds precursor mevalonate; that reaction is inhibited by statins. Steroids are synthesized from for 10 points what compound transported by LDL?,cholesterol,Science,Biology,2022 PACE NSC,8,5,2022
This physicist names a cone produced when a bullet passes through a glass pane which he derived after basically founding the field of contact mechanics. This physicist invented a device with directivity 1.5 which is modeled as a length of conducting wire much shorter than the wavelength being used. This inventor of the dipole antenna observed that a receiver lost charge faster when illuminated by (*) UV light making him the first to discover the photoelectric effect. This physicist verified Maxwells equations by making the first observation of radio waves. This physicists namesake SI unit is equal to inverse seconds and measures the number of cycles per second. For 10 points what German physicist names the SI unit of frequency?,Heinrich Hertz (HINE-rick HURTS) [accept Hertzian cone or Hertzian dipole antenna],Science,Physics,2022 PACE NSC,3,5,2022
In languages where generic parameters are restricted to these entities primitives must be boxed before use. The RAII (R-A-I-I) paradigm governs the lifetime of these entities in many languages without garbage collectors which deallocate their memory by calling destructors. Common design patterns involving these entities include factories and the use of paired (*) getters and setters. The equality operator cannot be used to compare these entities which must be passed into functions by reference rather than by value. These entities have access to methods from all interfaces implemented by the class they are an instance of. Java and C++ (C plus plus) are programming languages oriented around for 10 points what basic programming entities?,objects [accept object-oriented programming; prompt on OOP; prompt on types; prompt on interfaces or classes before read],Science,Other Science,2022 PACE NSC,17,5,2022
In isotropic cases this quantitys reciprocal times a dimensionless matrix defines the compliance tensor. This quantity times curvature times the moment of inertia equals the bending moment applied to a beam. This quantity equals 2 plus 2 times the Poisson (pwah-SONN) ratio all times a similar quantity named for shear. This quantity which has dimensions of (*) pressure is the gradient of the straight part of a graph to the left of the limit of proportionality which may elsewhere display necking or fracturing. This quantity times cross-sectional area divided by initial length gives the spring constant a common extensive analog of it. For 10 points stress over strain gives what measure of stiffness named for a British scientist?,Youngs modulus [or elastic modulus or modulus of elasticity; prompt on E],Science,Physics,2022 PACE NSC,20,5,2022
The characteristic alarmone of the starvation-based stringent response contains four of these chemical groups. The V600E mutation of B·RAF causes it to gain function due to mimicking the presence of this group. Cell signal transductions are typically initiated by the addition of this group to a receptor followed by receptor dimerization followed by a cascade that adds this group through proteins like MAPK or ones named for (*) Janus. This group is added to proteins at serine thre·onine and tyrosine residues. Proton motive force drives a rotor-shaped protein in adding this group to a molecule. For 10 points what group do kinases add to molecules by converting ATP to ADP?,phosphate group,Science,Biology,2022 PACE NSC,15,5,2022
The presence of this phenomenon may cause the TTL to reach zero indicating a hop limit error. Measuring this phenomenon in an error-free system is the primary use case of ICMP packets. Using UDP instead of TCP is common in applications where reducing this phenomenon is a higher priority than the reliability provided by handshakes. This phenomenon can be produced when packets are sent to (*) geographically-distant routers and is particularly pronounced for satellite broadband. The round trip of an echo request and echo response is measured to quantify this phenomenon in the ping protocol. For 10 points name this phenomenon in which packets experience delay while traversing a network.,network latency [or lag; accept round-trip end-to-end or one-way delay; accept high ping before ping; prompt on network congestion or traffic with what phenomenon does that cause?; do not accept or prompt on low bandwidth],Science,Other Science,2022 PACE NSC,8,5,2022
Waterproof examples of these substances have been inspired by a bi·valve-produced example whose iron and vanadium ions denature proteins. In one of these substances the nitrile group of a cyano·acrylate ester reacts with a basic surface in the presence of moisture and rapidly polymerizes. Poly·vinyl acetate is a common but weak one of these substances which in a common demonstration crosslinks with borax to form (*) slime. A strong one of these substances works by hardening a matrix of epoxy resins. Lipstick tubes inspired the Henkel company to design sticks for applying these substances one of which comes in a liquid white form produced by Elmers. For 10 points name these substances used to join objects together.,adhesives [or glues; accept superglues or wood glues or epoxy glues; prompt on thermoplastics; prompt on polymers],Science,Chemistry,2022 PACE NSC,20,5,2022
Baileys 1977 experiment in a CERN storage ring confirmed that this phenomenon is unaffected by acceleration. In one experiment this phenomenon led to a transverse form of another effect being observed for canal rays. Two types of this phenomenon affected the apparatus in the Hafele-Keating experiment. This phenomenon was first observed via its impact on the Doppler effect in the (*) IvesStilwell experiment. The Rossi-Hall experiment showed how this phenomenon causes more muons to reach Earth due to their longer observed lifetimes. This phenomenon leads to a paradox in which a twin on Earth and a twin on a spacecraft age at different rates. For 10 points name this relativistic phenomenon in which observers see moving clocks slow down.,time dilation [accept kinematic time dilation or gravitational time dilation; prompt on special relativity asking what specific phenomenon?],Science,Physics,2022 PACE NSC,19,5,2022
The metastable cementite is converted to austenite and this material at high temperatures which can then form ductility-enhancing nodules. Potassium reacts with this material to form a bronze-colored reducing agent via intercalation. This materials microstructure is possessed by gray iron. Herbert MacPherson helped pioneer techniques to produce this material which is formed with (*) silicon carbide in the Acheson process. This materials large cross-section allowed it to serve as a neutron moderator for Chicago Pile-1. Individual layers of this substance were repeatedly peeled using scotch tape in a method that earned Andre Geim a nobel prize. Layers of hexagonal carbon sheets form for 10 points what allotrope of carbon that is found in pencil lead?,graphite,Science,Chemistry,2022 PACE NSC,14,5,2022
Mutations in the ryanodine (rye-AN-uh-deen) receptor cause a condition named for increasing this physiological variable dangerously high after using halogenated anesthetics. The median preoptic nucleus of the anterior hypothalamus manages osmolarity and this variable. Noci·ception and data about this variable are transmitted through the spino·thalamic tract. This variable is partially maintained in the extremities by (*) countercurrent blood exchange. High progesterone after ovulation increases the basal value of this variable. High values of this quantity induce arteriolar dilation and eccrine (EH-krin) gland secretion. Shivering and sweating allow modulation of for 10 points what physiological variable whose normal value in humans is 98.6 Fahrenheit?,body temperature,Science,Biology,2022 PACE NSC,1,5,2022
Weeping and crizzling are forms of corrosion that can occur to this material due to improper levels of moisture and alkali. Austen Angell developed the concepts of strong and fragile precursors to this material. Network-forming cat·ions and stabilizers form the bulk of this material which forms through a second-order phase transition involving the supercooling of a viscous fluid. Sodium carbonate serves as a flux to lower the (*) transition temperature required to form a type of this substance to which lime is added for durability. This substance is given a low coefficient of thermal expansion through the addition of boron trioxide. Silica is melted to form for 10 points what amorphous solid?,glass,Science,Chemistry,2022 PACE NSC,19,5,2022
These elements are extracted after being mixed with tributyl phosphate and dissolved in nitric acid in the PUREX process. Oxides of these elements are the typical contents of MOX fuel. Repeated heating of oxides of these elements through vol·oxidation helps reprocess them while capturing undesirable contaminants. The majority of so-called fertile materials consist of these elements. (*) Pitchblende is an ore of one of these elements that can be leached out to form yellowcake. Another of these elements ionizes air in a commonly used smoke detector. One of these elements is depleted when it has a low concentration of its fissile 238 isotope. The 5f orbitals are valence orbitals in for 10 points what group of elements found below the lanthanides?,actinides [or actinoids; prompt on f-block elements],Science,Chemistry,2022 PACE NSC,7,5,2022
An integral with respect to this quantity is set equal to zero in the equal area rule following from Maxwells construction. An expansion in powers of one over this extensive quantity comprises the virial equation of state. In one equation n squared divided by this quantity squared is multiplied by a to give a correction due to intermolecular forces. An excluded type of this quantity is symbolized (*) b in one equation of state. This quantity is held constant in the usual statement of Gay-Lussacs law. The van der Waals equation accounts for atoms having nonzero values for this quantity. According to the ideal gas law n R T equals this quantity times pressure. For 10 points name this quantity measured in meters cubed.,volume [accept excluded volume; prompt on V],Science,Physics,2022 PACE NSC,20,5,2022
The RANTES ligand and MIP help suppress this infectious agent in vitro. This infectious agent is deemed R5 or X4 based on its preferred target cell which results in M-tropism (M TROPE-is-um) or syncytium (sin-CITY-um) forming T-tropism. Both this infectious agent and drugs used to treat it are associated with body fat rearrangement. Maturation inhibitors have been studied for treatment of this pathogen. The entry inhibitor maraviroc inhibits this pathogen by binding the (*) CCR5 receptor which when mutated provides resistance to this pathogen. HAART therapy for this pathogen may include protease inhibitors integrase inhibitors and NRTIs such as AZT. Reverse transcriptase helps replicate the genome of for 10 points what retrovirus which kills T cells to cause AIDS?,HIV [or human immunodeficiency virus; do not accept or prompt on AIDS or acquired immunodeficiency syndrome],Science,Biology,2022 PACE NSC,13,5,2022
The presence of an inducible form of this property results in a positive D-zone test. The ermA (erm-A) gene contributes to a form of this property by demethylating 23S rRNA. This property leads to no zone of inhibition in the Kirby-Bauer disc diffusion test. Mechanisms granting this property include efflux pumps and altered PBPs. Opportunistic organisms with a form of this property called MDR may cause (*) superinfections after initial treatment; those organisms include C diff and MRSA (MUR-suh). Amoxicillin is given with clavulanic acid to bypass a form of this property caused by beta lactamases which have become commonplace due to penicillin overuse. Superbugs have an extensive form of for 10 points what property of not being susceptible to medications?,drug resistance [or antibiotic resistance or antimicrobial resistance; prompt on resistance or resistant],Science,Biology,2022 PACE NSC,13,5,2022
Beta coronavirus egress relies on hijacking these organelles for secretion as opposed to normal biosynthetic secretion which additionally inhibits MHC-II (M-H-C-2) presentation. Legionella pneumo·phila causes membrane remodeling to prevent one structures recognition by this organelle. The TACO protein of myco·bacterium inhibits this organelles ability to fuse with a (*) phagosome after which a macrophage would normally undergo the respiratory burst. Either the protea·some or these structures are the target of ubi·quit·inated proteins which are digested in these acid phosphatase-containing organelles. A low pH is found in for 10 points what organelles responsible for eliminating cellular waste?,lysosomes,Science,Biology,2022 PACE NSC,8,5,2022
All reactions meet at invariant points according to one of Schreinimakers rules for producing these constructs in a topologically consistent manner. The bottom-left-most region on these constructs are conventionally labeled alpha. A tie line on these constructs is used to apply the lever rule to calculate mass fractions such as the percentage of austenite. The slope of lines on these constructs is given as P L over T-squared R in the (*) Clausius-Clapeyron equation describing coexistence curves. One of these constructs for water has a line with an unusual negative slope which explains why ice floats. The triple point is found on for 10 points what constructs that show the temperatures and pressures where substances are solids liquids and gasses?,phase diagrams,Science,Chemistry,2022 PACE NSC,9,5,2022
In natural units a law named for this physicist includes the factor one over the exponential of frequency over temperature minus one. Differentiating that equation named for this physicist shows that it peaks at about 2.8kT (2.8 K T) which leads to one form of Wiens (VEE-uhns) displacement law. That equation named for this physicist converges to zero at high frequencies but reproduces the Rayleigh-Jeans law at low frequencies which resolved the (*) ultraviolet catastrophe by describing the spectrum of black-body radiation. This physicists namesake constant over momentum gives the de Broglie (BROY) wavelength. A photons energy and frequency are related by for 10 points what pioneering German quantum physicists namesake constant symbolized h?,Max Planck [accept Plancks law or Plancks equation or reduced Plancks constant],Science,Physics,2022 PACE NSC,20,5,2022
The first experiment that studied these phenomena was built at the University of Maryland golf course and centered on an aluminum bar named for Joseph Weber (webber). These phenomena will be studied by the Japanese KAGRA experiment and by the LISA space probe. A scientific collaboration that studies these phenomena was founded by Barry Barish alongside Rainer Weiss (RINE-uhr VICE). These phenomena were observed at two sites in (*) Hanford Washington and Livingston Louisiana each consisting of two perpendicular 4-kilometer long arms. Two massive laser interferometers were used to first detect these phenomena resulting from a black hole merger which helped confirm general relativity in 2016. For 10 points LIGO (LIE-go) detected what waves named for a fundamental force?,gravitational waves [or gravitational radiation; accept gravitational waves after waves and prompt beforehand; do not accept or prompt on gravity waves],Science,Physics,2022 PACE NSC,1,5,2022
The Logjam exploit used knowledge of primes used as the second argument of this operation to precalculate discrete logarithms. Finite fields defined using this operation are used to produce the shared secret in the Diffie-Hellman protocol. The ciphertext is one input into this operation and the product of two large primes is the other in RSA (R-S-A) encryption which applies it after exponentiation. Every ifstatement in every loop of FizzBuzz uses this operation which is an alternative to binary AND for finding the (*) parity of an input. The sign of this operations output depends on whether truncation or flooring is used to define division. For 10 points name this operation often denoted with the percent sign which returns the remainder.,modulus [or modulo; accept modular exponentiation or modular arithmetic; accept remainder before the end; prompt on parity determining oddness determining evenness or checking divisibility with what operation is used to do that?],Science,Other Science,2022 PACE NSC,9,5,2022
A class of quantum techniques named for this adjective is exemplified by the annealing method allegedly used for optimization by the D-Wave One computer. That quantum computing technique uses a result named for this adjective which states that a system remains in the same eigenstate (EYE-gun-state) of the Hamiltonian if it is changed slowly. A quantity named for this adjective is 1.4 for a diatomic gas and is denoted gamma such that (*) pressure times volume to the power gamma is constant in processes of this type. Reversible processes of this type are isentropic such as the expansion phase of a Carnot (KAR-noh) cycle. In processes of this type the change in internal energy equals the work done. For 10 points name this type of process with no net heat transfer.,adiabatic [accept adiabatic quantum computing or adiabatic theorem or adiabatic index],Science,Physics,2022 PACE NSC,1,5,2022
Thomas Huxley dedicated a lecture to a piece of this rock in which he described its formation to the men of Norwich. This rock and sandstone serve as petroleum reservoirs in the oil fields of the Gulf Coast and the North Sea. Close examination of this rock will reveal countless discarded tests of foraminifera (for-AM-in-i-fera). A vast bed of this rock underlying most of Europe was formed in the shallow seas of the (*) Cretaceous which is named for it. The high porosity of this rock produces an extremely vigorous reaction in the acid test. This rock is marginally harder than gypsum and thus produces less dust when rubbed on a surface. For 10 points name this form of calcium carbonate rock used to write on blackboards.,chalk [or The Chalk; or dustless chalk; accept On a Piece of Chalk or limestone ; prompt on calcite aragonite or lime; prompt on calcium carbonate before read],Science,Other Science,2022 PACE NSC,10,5,2022
Two atoms of this non-carbon element are bonded to each other in the middle of allicin (Allison). A selenium-containing amino acid assists in the oxidation of two atoms of this element in a mechanism for mitigating oxidative damage. The extremely high energy bond between this element and a carbonyl group allows acetyl CoA (uh-SEE-til koh-A) to serve as an effective intermediate in several processes involving ATP. A bond forms between two atoms of this element when oxidizing the antioxidant (*) glu·ta·thi·one. Beta-mercapto·ethanol is used to reduce bonds between this element which often links segments of protein chains via namesake bridges. Cysteines thi·ol side chain contains for 10 points what element found in foul-smelling chemicals?,sulfur,Science,Chemistry,2022 PACE NSC,17,5,2022
The para·vascular glymphatic system appears to be most active during this process. A lack of orexin causes this process to spontaneously occur typically accompanied by cata·plexy. A form of inherited prion disease is named for initially presenting with the inability to perform this process. Tra·zo·done is commonly prescribed off label to help in this process which is also supported with Z-drugs like zolpidem. Desynchronized (*) waves are found in a paradoxical stage of this process which is preceded by a slow-wave stage 3 counterpart. C·PAP machines apply constant pressure to prevent obstructive loss of breathing or apnea during this process. Rapid eye movements occur during for 10 points what process which may be accompanied by dreaming?,sleep,Science,Biology,2022 PACE NSC,7,5,2022
Fred Hoyle developed the rapidly-decaying Planck particle in his final attempt to show that this value is infinite. Constraints on the density parameter made by the Planck and WMAP (W-MAP) satellites have aided in the calculation of this value using the first Friedmann equation. This value has been constrained by observations of globular clusters which have forced the adoption of models with non-zero values for (*) lambda. A belief that this value was infinite motivated Einstein to add the cosmological constant to his field equations. This value is coincidentally very similar to the reciprocal of the Hubble constant. For 10 points name this value which is approximately 13.7 billion years indicating the time since the Big Bang.,the age of the universe [accept the time since the Big Bang or the time since the start of the universe before time; prompt on age; prompt on time before read],Science,Other Science,2022 PACE NSC,15,5,2022
Mass loss to a binary partner can form extremely low-mass white dwarfs composed primarily of this element. A degenerate core of this element will uniformly heat up until 108 K (ten to the eighth Kelvin) at which point it will produce an enormous pulse of energy that is quickly converted into thermal expansion. After exhausting this element in the core stars leave the horizontal branch to become asymptotic (*) red giants. The mass percent of elements heavier than this element is the metallicity. Every loop of the CNO cycle produces one atom of this element which is the input to the triple-alpha process. Mainsequence stars can fuse two hydrogen atoms together to form for 10 points what second-most-abundant element in the universe?,helium [or He],Science,Other Science,2022 PACE NSC,3,5,2022
The slope of a titrations Gran plot equals a ratio of activity coefficients times this quantity. Its not entropy but a ligand with higher denticity causes this quantity to increase in the chelate (KEY-late) effect. The derivative of the log of this quantity with respect to temperature equals the change in enthalpy over R times T squared. Multiplying this quantity by an integer power of RT converts it to a related quantity calculated with (*) partial pressures. This quantity equals 10 to the negative 14 for the autoionization of water. If there is a surplus of products this quantity is less than Q the reaction quotient. The law of mass action calculates for 10 points what constant that characterizes a reaction with equal forward and reverse rates?,equilibrium constant [or Keq (K-sub-e-q); accept acid dissociation constant or Ka (K-sub-a); accept Kp (K-sub-p); accept equilibrium only after what constant; prompt on K],Science,Chemistry,2022 PACE NSC,18,5,2022
Swaps minimize the difference between the output of these functions and the final index in a method named for Robin Hood. The optimal number of these functions is the logarithm of the false positive probability for a Bloom filter. When the output of these functions is more uniformly distributed the probing used for open addressing goes faster. The integrity of a download may be verified by comparing the files (*) checksum against the output of one of these functions. Birthday attacks target these functions by finding inputs that produce collisions. Use of these functions allow buckets in a namesake data structure to be looked up in constant time. For 10 points name these one-way functions used to implement namesake tables.,hash functions [or hashes; accept cryptographic hash functions hash tables or hash maps; prompt on maps],Science,Other Science,2022 PACE NSC,1,5,2022
Description acceptable. The cosine of a fractional rotation has this property if and only if all factors of the denominator are Fermat primes or two. Points with this property form a field which is closed under basic arithmetic operations and square root. Pierre Wantzel proved several problems have solutions which do not have this property like finding the roots of (*) cubics. In a tour-de-force a 19-year-old Gauss showed that the regular 17-gon has this property. This property is not held by transcendental numbers which means that it is not possible to square the circle. For 10 points describe this property of geometric objects which can be created in the style of Euclid by using only basic tools for tracing arcs and lines.,constructible [or constructing; or constructed; accept constructible polygons points numbers or angles; accept answers indicating that they can be drawn with compass and straightedge; prompt on answers indicating they can be drawn on paper with how would you do so?],Science,Math,2022 PACE NSC,14,5,2022
In special relativity this statement contains a transverse and a longitudinal term respectively proportional to gamma and gamma-cubed. This statements quantum mechanical analog is usually the second equation in the statement of Ehrenfests (AIR-en-fests) theorem. This statement gains a term proportional to the rate of change of angular velocity named for Euler (OIL-er) in a rotating frame. This statement gains a term equal to exhaust velocity times the mass-loss rate in the derivation of the (*) rocket equation. Integrating this statement gives the definition of impulse. This law can be applied by using a freebody diagram and finding a vector sum of forces. For 10 points name this law often given as force equals mass times acceleration.,Newtons second law of motion [accept anything indicating Newton and two prompt on partial answers; accept impulse-momentum principle before impulse; accept F equals m a or force equals mass times acceleration before force; prompt on equation of motion; prompt on Tsiolkovskys rocket equation before rocket asking what more basic statement gains that term in the derivation of the rocket equation?],Science,Physics,2022 PACE NSC,4,5,2022
Michel Laberge (lah-BAIRZH) who is continuing the tradition of building these devices in Culham Oxfordshire gave a TED talk comparing his device to a synchronized hammer strike. A Q-value of 1 called the break even level has yet to be reached by one of these devices made by the NIF (N I F) which applies the worlds most powerful laser to a hohlraum (HOLE-rowm). A large one of these devices being built in the south of France is called (*) ITER (itter). These devices seek to exceed the Coulomb (COOL-oam) barrier via inertial or magnetic confinement. A magnetic field confines plasma in a toroidal shape in one of these devices based on a tokamak. For 10 points name these devices that seek to produce energy through the combination of atomic nuclei contrasted with fission reactors.,thermonuclear fusion reactors [accept cold fusion reactors or fusion power plants or tokamaks before mentioned; prompt on reactors or power plants or nuclear reactors],Science,Physics,2022 PACE NSC,10,5,2022
The antibiotic cef·i·dero·col binds to this element to enter bacteria via active transporters. Entero·bactin binds the plus 3 ion of this element with an extremely high affinity. Dietary forms of this element are reduced by du·o·de·nal cyto·chrome B to its di·valent form for transport. Hepcidin (hepSIGH-din) encourages the trapping of this element within macrophages and the liver during inflammation to limit its accessibility to bacteria. Bacteria release (*) siderophores (sigh-DARE-oh-fours) to scavenge this element. Lead poisoning symptoms resemble a deficiency of this element due to preventing this elements complex·ation by a porphyrin ring. Anemia can be caused by a deficiency of for 10 points what metal found in hemoglobin?,iron,Science,Biology,2022 PACE NSC,21,5,2022
This compound serves as the sole ligand in a linear chain of platinum complexes called Magnuss green salt. This is the simplest compound that reacts with ninhydrin to form Ruhemanns purple. Two equivalents of this compound are combined in the Olin-Raschig process. Solutions of this compound and alkali metals form powerful reducing agents due to the presence of solvated electrons which create a deep blue color. This compound is oxidized to form (*) hydrazine and is oxidized to form nitric acid in the Ostwald process. Roughly 1% of the worlds energy supply is used in a process to produce this compound which uses iron to catalyze the direct hydrogenation of nitrogen. Fertilizers often contain for 10 points what compound with formula NH3?,ammonia [accept NH3 until mentioned],Science,Chemistry,2022 PACE NSC,4,5,2022
Experimental contact lenses for measuring this biological quantity rely on reactions with boronic acid probes. One method measures this quantity using the current produced by a reaction that forms a delta lactone and hydrogen peroxide. CGMS devices monitor this quantity which is lowered post·prandially by incretins (in-CREE-tins). This quantitys three-month average is approximated by the hemoglobin (*) A1c (A-one-c). A hexo·kinase iso·form primarily located in the liver only activates when this quantity is high. Testing this quantity is impeded by the cost of test strips and constant need for finger pricking. Enzymes from the pancreatic islets like insulin and glucagon help regulate for 10 points what quantity which is chronically high in type II diabetics?,blood sugar [or blood glucose; accept glycemia],Science,Biology,2022 PACE NSC,9,5,2022
A large extrachromosomal element called a borg is found in some archaea which metabolize this substance which the borg is believed to help enhance. Alexander Shilovs namesake bond activation system oxidizes this compound in a similar manner to enzymes called MMOs. In anoxic environments this compound is anaerobically oxidized in a reaction coupled with reduction of nitrate or sulfate. Carbon monoxide is the final electron receptor in an anaerobic respiration pathway that produces this compound in archaea. This potent (*) greenhouse gas global warming potential is about 30 times that of CO2 and is released in significant amounts by the belching of cattle. For 10 points name this simplest hydrocarbon.,methane [or CH4],Science,Chemistry,2022 PACE NSC,12,5,2022
Ristocetins ability to induce this process is used to differentiate between conditions that impact this process. Schisto·cytes form in extremely dangerous occurrences of this process which include D·I·C. Breakdown of this process products forms F·D·Ps such as D-dimers. Degranulation during this process releases ADP calcium and serotonin which occurs after the binding of GpIB-IX-V (G-P-one-B-nine-five) to a sub·endo·the·lial glycoprotein. Factor Xa (Ten-A) is produced from both the (*) extrinsic and intrinsic pathways in the protease cascade driven secondary portion of this process which in turn occurs after the formation of a fibrin-containing plug. Hemophilia occurs due to the inability to properly undergo for 10 points what platelet-driven process?,blood clotting [or coagulation or hemostasis; accept platelet agglutination],Science,Biology,2022 PACE NSC,10,5,2022
Truncating a Taylor expansion in powers of this quantity gives Oseens equations. This quantity is plotted on the x-axis of a Moody diagram whose y-axis sometimes plots a factor named for Darcy. An analog of this quantity in plasma physics which quantifies the effects of magnetic diffusion is its magnetic version. When this quantity is small a regime named for Stokes applies and the HagenPoiseuille equation holds. This quantity equals the (*) velocity scale times the lengthscale over kinematic viscosity or equivalently the ratio of inertial to viscous forces. When this dimensionless quantity is large vortices and eddies appear in a fluid flow. For 10 points what namesake number determines if a flow is laminar or turbulent?,Reynolds number [or Re or Rm; accept magnetic Reynolds number],Science,Physics,2022 PACE NSC,2,5,2022
In 2021 a form of this phenomenon was observed in a 10-Tesla environment by a group at MIT that has studied its spin-triplet type. The main industrial uses of niobium-tin and niobium-titanium alloys rely on this phenomenon. This phenomenon which is observed in many cuprate-perovskite ceramics was first observed in mercury by (*) Heike Kamerlingh Onnes (HIKE-ur CAH-mur-ling ON-iss). In materials exhibiting this phenomenon like YBCO electrons couple into Cooper pairs according to BCS theory. This phenomenon causes the expulsion of magnetic fields in the Meissner (MICE-nur) effect allowing materials to magnetically levitate at low temperatures. For 10 points name this phenomenon observed below the critical temperature in which a materials electrical resistance disappears.,superconductivity [or superconductors; accept Type I superconductors or Type II superconductors],Science,Physics,2022 PACE NSC,14,5,2022
In applications like anti-lock braking systems this specific phenomenon is usually generated by Gunn diodes. In 1955 James Lovelock used this specific phenomenon to reanimate hamsters. This specific phenomenon was intensified using ammonia in a device invented by Charles Townes. While working at Raytheon Percy Spencer designed a device that creates this type of radiation using a cavity (*) magnetron. Due to its high dipole moment water strongly absorbs this type of radiation. This type of radiation which has a typical wavelength of about a centimeter is used in diathermy or dielectric heating. Radio waves are slightly less energetic than for 10 points what region of the electromagnetic spectrum used to heat food in namesake ovens?,microwaves [or microwave radiation; accept microwave ovens or masers; prompt on EM radiation or EM radiation or EM waves or electromagnetic waves; prompt on radio waves or UHF waves],Science,Physics,2022 PACE NSC,21,5,2022
